country,date,daily_vaccinations,total_vaccinations,people_vaccinated,people_fully_vaccinated,population
Albania,10/10/2021,,,,,
Albania,10/11/2021,,1803799,,834469,
Albania,10/12/2021,6634,1810433,968117,842316,
Albania,10/13/2021,6147,1816580,970703,845877,2872972
Albania,10/14/2021,,,,,
Albania,10/15/2021,,,,,
Albania,10/16/2021,,,,,
Angola,10/10/2021,,,,,
Angola,10/11/2021,,,,,
Angola,10/12/2021,,,,,
Angola,10/13/2021,,,,,
Angola,10/14/2021,,4448653,3158501,1290152,33933280
Angola,10/15/2021,,,,,
Angola,10/16/2021,,,,,
Anguilla,10/10/2021,,,,,
Anguilla,10/11/2021,,,,,
Anguilla,10/12/2021,,,,,
Anguilla,10/13/2021,,,,,
Anguilla,10/14/2021,,,,,
Anguilla,10/15/2021,,18705,9548,9157,15125
Anguilla,10/16/2021,,,,,
Antigua and Barbuda,10/10/2021,,,,,
Antigua and Barbuda,10/11/2021,,,,,
Antigua and Barbuda,10/12/2021,,,,,
Antigua and Barbuda,10/13/2021,,99846,54758,45088,98731
Antigua and Barbuda,10/14/2021,,,,,
Antigua and Barbuda,10/15/2021,,,,,
Antigua and Barbuda,10/16/2021,,,,,
Argentina,10/10/2021,160655,53980661,30244964,23813404,
Argentina,10/11/2021,135233,54115894,30265200,23928986,
Argentina,10/12/2021,,54115894,,,
Argentina,10/13/2021,,54353322,30398941,24034055,
Argentina,10/14/2021,361598,54714920,30629612,24167049,
Argentina,10/15/2021,388787,55103707,30878639,24308860,
Argentina,10/16/2021,501961,55605668,31177414,24514822,45604583
Armenia,10/10/2021,,,,,
Armenia,10/11/2021,,514241,344029,170212,2967346
Armenia,10/12/2021,,,,,
Armenia,10/13/2021,,,,,
Armenia,10/14/2021,,,,,
Armenia,10/15/2021,,,,,
Armenia,10/16/2021,,,,,
Aruba,10/10/2021,185,157541,81871,75670,
Aruba,10/11/2021,,157541,,75670,
Aruba,10/12/2021,,157665,81916,75749,
Aruba,10/13/2021,201,157866,81987,75879,
Aruba,10/14/2021,86,157952,82015,75937,
Aruba,10/15/2021,113,158065,82054,76011,107192
Aruba,10/16/2021,,,,,
Austria,10/10/2021,2173,11095432,5787527,5488111,
Austria,10/11/2021,13608,11109040,5790442,5492983,
Austria,10/12/2021,21508,11130548,5795168,5500412,
Austria,10/13/2021,26429,11156977,5800384,5508499,
Austria,10/14/2021,24417,11181394,5805526,5516174,
Austria,10/15/2021,26618,11208012,5811639,5526943,
Austria,10/16/2021,10233,11218245,5814680,5531374,9043326
Azerbaijan,10/10/2021,33833,8996778,4889178,4107600,
Azerbaijan,10/11/2021,511,8997289,4889404,4107885,
Azerbaijan,10/12/2021,39810,9037099,4903419,4133680,
Azerbaijan,10/13/2021,,9037099,,4133680,
Azerbaijan,10/14/2021,,9106934,4929657,4177277,
Azerbaijan,10/15/2021,31417,9138351,4942003,4196348,10223013
Azerbaijan,10/16/2021,,9138351,,4196348,
Bahamas,10/10/2021,,,,,
Bahamas,10/11/2021,,,,,
Bahamas,10/12/2021,,,,,
Bahamas,10/13/2021,,,,,
Bahamas,10/14/2021,,,,,
Bahamas,10/15/2021,,238432,133591,110710,396924
Bahamas,10/16/2021,,,,,
Bahrain,10/10/2021,8923,2660632,1168404,1128869,
Bahrain,10/11/2021,8943,2669575,1168806,1129802,
Bahrain,10/12/2021,7498,2677073,1169414,1130624,
Bahrain,10/13/2021,7192,2684265,1169744,1131303,
Bahrain,10/14/2021,7246,2691511,1170200,1132032,
Bahrain,10/15/2021,4260,2695771,1170371,1132352,
Bahrain,10/16/2021,4334,2700105,1170546,1132855,1748320
Bangladesh,10/10/2021,910415,54191063,36162135,18028928,
Bangladesh,10/11/2021,607923,54798986,36580037,18218949,
Bangladesh,10/12/2021,480836,55279822,36897472,18382350,
Bangladesh,10/13/2021,444078,55723900,37180111,18543789,
Bangladesh,10/14/2021,395044,56118944,37436111,18682833,
Bangladesh,10/15/2021,,56118944,,18682833,
Bangladesh,10/16/2021,,56133021,37450120,18682901,166320063
Barbados,10/10/2021,790,254344,142182,112162,
Barbados,10/11/2021,1301,255645,142623,113022,
Barbados,10/12/2021,1356,257001,143151,113850,
Barbados,10/13/2021,1230,258231,143661,114570,
Barbados,10/14/2021,,258231,,114570,
Barbados,10/15/2021,,260653,144569,116084,
Barbados,10/16/2021,842,261495,144981,116514,287705
Belarus,10/10/2021,,4218130,2468546,1749584,9442870
Belarus,10/11/2021,,,,,
Belarus,10/12/2021,,,,,
Belarus,10/13/2021,,,,,
Belarus,10/14/2021,,,,,
Belarus,10/15/2021,,,,,
Belarus,10/16/2021,,,,,
Belgium,10/10/2021,319,16716431,8634272,8473480,
Belgium,10/11/2021,4987,16721418,8636694,8476367,
Belgium,10/12/2021,6533,16727951,8639957,8480102,
Belgium,10/13/2021,9622,16737573,8643487,8486736,
Belgium,10/14/2021,4091,16741664,8645665,8489064,11632619
Belgium,10/15/2021,,,,,
Belgium,10/16/2021,,,,,
Benin,10/10/2021,,,,,
Benin,10/11/2021,,,,,
Benin,10/12/2021,,252698,216527,186951,12448178
Benin,10/13/2021,,,,,
Benin,10/14/2021,,,,,
Benin,10/15/2021,,,,,
Benin,10/16/2021,,,,,
Bermuda,10/10/2021,,,,,
Bermuda,10/11/2021,,,,,
Bermuda,10/12/2021,,,,,
Bermuda,10/13/2021,,,,,
Bermuda,10/14/2021,,,,,
Bermuda,10/15/2021,,88417,45017,43400,62091
Bermuda,10/16/2021,,,,,
Bhutan,10/10/2021,,1087753,585479,502274,779919
Bhutan,10/11/2021,,,,,
Bhutan,10/12/2021,,,,,
Bhutan,10/13/2021,,,,,
Bhutan,10/14/2021,,,,,
Bhutan,10/15/2021,,,,,
Bhutan,10/16/2021,,,,,
Botswana,10/10/2021,,,,,
Botswana,10/11/2021,,,,,
Botswana,10/12/2021,,,,,
Botswana,10/13/2021,,,,,
Botswana,10/14/2021,,783999,525739,258260,2397551
Botswana,10/15/2021,,,,,
Botswana,10/16/2021,,,,,
Brazil,10/10/2021,1138680,249340259,154414034,99584719,
Brazil,10/11/2021,,249340259,,99584719,
Brazil,10/12/2021,,249340259,,99584719,
Brazil,10/13/2021,,249340259,,99584719,
Brazil,10/14/2021,,250811841,154852830,100632085,
