title,year,genres,duration,directors,actors,rating
tt0096256,1988,"Action, Horror, Sci-Fi",94,nm0000118,"nm0684929, nm0202966, nm0001236",7.3
tt3036676,2014,"Crime, Thriller",86,nm1914394,"nm0005068, nm0059215",3.4
tt3278416,2015,"Comedy, Drama, Romance",95,nm0058445,"nm0531061, nm3366702, nm3300306, nm0372396",5.5
tt2254364,2013,Comedy,83,"nm1806012, nm3658945","nm0280559, nm1526214, nm1560274",4.7
tt0829193,2007,"Crime, Drama, History",124,nm0000626,"nm0000418, nm0004986, nm1861624",6.6
tt0093443,1987,Comedy,86,nm0595657,"nm0144236, nm0000593, nm0113632",5.2
tt0033949,1941,"Comedy, Romance",43,nm0235066,"nm0941019, nm0114805, nm0686032",6.0
tt0081187,1980,"Adventure, Western",102,nm0485889,"nm0000032, nm0001417",6.4
tt0035692,1943,Western,65,nm0782947,"nm0101956, nm0167395, nm0313358",6.4
tt0035940,1943,Comedy,65,nm0235066,"nm0669433, nm0000992, nm0137393",6.4
tt0041824,1949,"Drama, Romance",89,"nm0718321, nm0712947","nm0335048, nm0262896, nm0001948, nm0557340",5.7
tt0319343,2003,"Comedy, Family, Fantasy",97,nm0269463,"nm0002071, nm0001001, nm0627878",6.9
tt0283003,2002,"Comedy, Crime, Drama",101,nm0959774,"nm0005403, nm0000620, nm0005261, nm0000491",6.8
tt0051476,1958,"Drama, Romance, War",99,nm0097648,"nm0001514, nm0398934, nm0000955",5.9
tt0047032,1954,"Drama, Sport",82,nm0002146,"nm0163817, nm0107746, nm0001627, nm0935433",6.6
tt0280456,2001,"Drama, Comedy",95,nm0923330,"nm0006958, nm0000236, nm0000657, nm0602821",5.7
tt0105680,1990,"Action, Adventure, Sci-Fi",81,"nm0848501, nm0855188","nm0708105, nm0073587, nm0852886, nm0109517",1.9
tt5881892,2017,Drama,95,nm5665147,"nm3561158, nm8001223",5.5
tt2446318,2014,"Comedy, Horror",77,nm4945370,"nm1678610, nm3782587, nm4937968, nm5316960, nm3081543",5.4
tt0045102,1952,Comedy,98,nm0851537,"nm0000026, nm0236860, nm0878354",7.2
tt0031381,1939,"Drama, History, Romance",238,"nm0281808, nm0002030","nm9667655, nm0641966",8.1
tt0048513,1955,"Comedy, Family, Romance",105,nm0394409,"nm0000032, nm0011105, nm0218131",6.6
tt1650554,2013,"Action, Comedy, Crime",103,nm0905592,"nm1093951, nm1631269",6.5
tt0092648,1987,"Adventure, Sci-Fi, Thriller",84,nm0177234,"nm8611915, nm0045502, nm0533053",4.9
tt1535612,2011,"Action, Crime, Drama",90,nm1996918,"nm0000199, nm1475594",5.1
tt0062952,1968,Drama,130,nm0001023,"nm0549134, nm0001687",7.7
tt0272202,1982,Sci-Fi,71,nm0684879,"nm0851516, nm0684878, nm0703516, nm0618787",3.2
tt1509125,2010,"Horror, Sci-Fi",85,nm1953691,"nm3607849, nm0033509, nm0953654",2.7
tt0029942,1938,"Biography, Drama",96,nm0851537,"nm0000075, nm0001682, nm0401434",7.3
tt3903852,2016,"Action, Crime, Thriller",107,nm2341319,"nm0806002, nm1961693, nm0582939",5.5
tt0138704,1998,"Drama, Horror, Mystery",84,nm0004716,"nm0347797, nm0546797, nm0791570",7.4
tt0101464,1991,"Horror, Romance, Thriller",91,nm0912798,"nm0467664, nm0000434, nm0655396",3.8
tt0129028,1999,"Action, Thriller",93,nm0173207,"nm0000616, nm0653829, nm0005171",4.4
tt0074812,1976,"Action, Sci-Fi",119,nm2410633,"nm0001868, nm0430151, nm0000256",6.8
tt1292643,2009,Comedy,110,"nm2402543, nm2404354","nm3133509, nm3133661",6.1
tt0041602,1949,"Action, Adventure, Crime",72,nm0075318,"nm0919321, nm0217332, nm0893900",6.4
tt0275719,2001,Drama,86,nm0000500,"nm0000160, nm0000494, nm0000235",7.3
tt0158622,2000,"Comedy, Family, Romance",90,nm0505152,"nm0004692, nm0000286, nm0005060",3.6
tt5886440,2017,"Drama, Horror, Mystery",110,nm1037221,"nm1126657, nm5896355",6.7
tt0046931,1954,"Crime, Drama, Film-Noir",88,nm0916131,"nm0916131, nm0018273, nm0095524",6.7
tt0207212,1999,Drama,90,nm0577647,"nm0703910, nm0111520",4.7
tt0026895,1935,"Crime, Drama",89,nm0747844,"nm0000859, nm0000795, nm0606431, nm0130407",6.8
tt0116138,1996,Comedy,76,"nm0321137, nm0409007","nm0497485, nm0401945, nm0582939",5.4
tt3348730,2017,"Horror, Mystery",92,"nm1294961, nm1294962","nm1432956, nm0068551, nm0719678",5.8
tt0340163,2005,"Action, Crime, Drama",113,nm0802807,"nm0000246, nm0001629, nm1497548, nm0394889",6.6
tt0176783,2000,"Drama, Mystery, Thriller",90,nm0346550,"nm0005188, nm0372176, nm0005342",5.9
tt0089670,1985,"Adventure, Comedy",95,nm0002132,"nm0000331, nm0000350, nm0384162",6.2
tt1839482,2013,"Action, Drama, Thriller",86,nm0079496,"nm0001593, nm1882929, nm3732165",5.6
tt0994917,2010,"Action, Adventure, Comedy",83,nm0280541,"nm0280541, nm0461458, nm0446486",6.0
tt0100150,1990,"Crime, Drama, Thriller",115,"nm0001054, nm0001053","nm0000321, nm0001315, nm0001806",7.7
tt3070936,2013,"Comedy, Family, Fantasy",130,nm1434034,"nm0195421, nm1900397, nm0796758",7.0
tt1293829,2009,Comedy,86,nm0567050,"nm0765563, nm0067363",4.2
tt0060899,1966,Western,101,nm0568535,"nm0175200, nm0719692, nm0371624",6.3
tt0034469,1942,"Action, Adventure, Comedy",58,nm0523994,"nm0181003, nm0454878, nm0855579",4.9
tt0085415,1982,Horror,88,nm0625287,"nm0452703, nm0875936, nm0382984, nm0153781",4.4
tt1144884,2009,"Horror, Thriller",82,nm0254786,"nm2092545, nm1416900, nm1214657",5.2
tt0058660,1969,Western,72,nm0091430,"nm0487765, nm0938199, nm0709947",5.9
tt0090660,1986,"Action, Comedy, Crime",88,nm0504495,"nm0001006, nm0506405, nm0005162",5.7
tt1355575,2008,"Comedy, Horror, Sci-Fi",85,nm1699744,"nm3278322, nm2414862, nm4381266, nm2272562",4.6
tt0471037,2007,Drama,89,nm1089011,"nm3611487, nm0445987, nm0816669",4.0
tt0090836,1986,"Action, Sci-Fi",94,nm0047094,"nm2483311, nm0432201, nm0004149",5.4
tt0012538,1920,"Crime, Romance, Thriller",75,nm0115218,"nm0212912, nm0643048, nm0151606, nm0507636",6.5
tt0025256,1934,"Drama, Romance",71,nm0731910,"nm0228715, nm0933333, nm0127677, nm0639895",6.1
tt0089543,1985,"Comedy, Thriller",92,nm0236769,"nm0000158, nm0001056, nm0001742",5.7
tt0039152,1947,"Romance, Western",100,nm0335455,"nm0000078, nm0751149",6.9
tt2005367,1989,Horror,79,nm0642375,"nm4597054, nm4597015, nm8252137",5.4
tt0091064,1986,"Drama, Horror, Sci-Fi",96,nm0000343,"nm0000156, nm0000133",7.6
tt0028757,1937,"Comedy, Music, Romance",101,nm0828419,"nm0000001, nm0122675, nm0020555, nm0000021",6.8
tt0087262,1984,"Action, Horror, Sci-Fi",114,nm0504495,"nm0001418, nm0000106, nm0428086, nm0000181",6.1
tt0047416,1954,"Adventure, Mystery",93,"nm0335455, nm0920074","nm0064197, nm0818765, nm0002285, nm0565887",5.3
tt2935510,2019,"Adventure, Drama, Mystery",123,nm0336696,"nm0000093, nm0000169, nm1550948, nm0000661",6.6
tt6353976,2019,"Drama, Romance",92,nm3422075,"nm1965968, nm3935293, nm2732601, nm3083875",4.6
tt0024958,1934,"Adventure, Crime, Drama",74,nm0189076,"nm0929925, nm0000802, nm0420765, nm0593372",7.0
tt0105347,1992,"Horror, Sci-Fi",87,nm0543596,"nm0377462, nm0744776, nm0936757",4.4
tt5119108,2016,"Comedy, Drama",116,nm0713576,"nm7669490, nm7669488, nm5692772",8.0
tt1637688,2011,"Action, Sci-Fi, Thriller",109,nm0629272,"nm0005493, nm1312575, nm0301959",6.7
tt0389790,2007,"Animation, Adventure, Comedy",91,"nm0971239, nm9054338","nm0000632, nm0000250, nm0000111",6.1
tt0028004,1936,"Crime, Mystery",69,nm0059106,"nm0000817, nm0665850",5.7
